代码,名称,净值,涨跌,近1月,近3月,近6月,近1年,日期
016057,博时纳斯达克100ETF联接(QDII)C,1.6025,2.38,7.11,17.36,15.49,31.14,20241108
016057,博时纳斯达克100ETF联接(QDII)C,1.599,-0.22,5.71,13.67,15.26,30.75,20241111
016057,博时纳斯达克100ETF联接(QDII)C,1.6056,0.41,5.39,13.57,15.26,29.57,20241112
016057,博时纳斯达克100ETF联接(QDII)C,1.6061,0.03,5.42,13.43,15.3,29.61,20241113
016057,博时纳斯达克100ETF联接(QDII)C,1.6049,-0.07,5.34,10.68,14.96,29.92,20241114
016057,博时纳斯达克100ETF联接(QDII)C,1.5943,-0.66,3.84,9.96,13.44,26.51,20241115
016057,博时纳斯达克100ETF联接(QDII)C,1.5588,-2.23,2.7,5.07,9.36,23.66,20241118
016057,博时纳斯达克100ETF联接(QDII)C,1.5674,0.55,1.84,5.45,10.25,24.26,20241119
016057,博时纳斯达克100ETF联接(QDII)C,1.5778,0.66,2.51,4.9,10.98,25.08,20241120
016057,博时纳斯达克100ETF联接(QDII)C,1.577,-0.05,2.46,5.22,10.21,23.8,20241121
016057,博时纳斯达克100ETF联接(QDII)C,1.5825,0.35,3.07,5.08,10.34,25.24,20241122
016057,博时纳斯达克100ETF联接(QDII)C,1.5852,0.17,2.79,7.09,10.56,25.2,20241125
016057,博时纳斯达克100ETF联接(QDII)C,1.5866,0.09,3.24,5.82,10.07,25.64,20241126
016057,博时纳斯达克100ETF联接(QDII)C,1.5949,0.52,3.78,7.75,10.64,26.3,20241127
016057,博时纳斯达克100ETF联接(QDII)C,1.5835,-0.71,3.04,6.49,9.87,25.55,20241128
016057,博时纳斯达克100ETF联接(QDII)C,1.5815,-0.13,2.61,7.61,9.39,25.07,20241129
016057,博时纳斯达克100ETF联接(QDII)C,1.5946,0.83,2.53,8.51,11.04,26.44,20241202
016057,博时纳斯达克100ETF联接(QDII)C,1.611,1.03,6.36,8.73,13.36,27.53,20241203
016057,博时纳斯达克100ETF联接(QDII)C,1.6185,0.47,6.86,12.47,13.61,28.13,20241204
016057,博时纳斯达克100ETF联接(QDII)C,1.6361,1.09,8.28,13.85,14.56,30.92,20241205
016057,博时纳斯达克100ETF联接(QDII)C,1.6302,-0.36,6.84,13.64,11.98,29.95,20241206
016057,博时纳斯达克100ETF联接(QDII)C,1.6438,0.83,5.02,17.69,12.98,31.76,20241209
016057,博时纳斯达克100ETF联接(QDII)C,1.6312,-0.77,2.01,15.25,12.23,28.54,20241210
016057,博时纳斯达克100ETF联接(QDII)C,1.6266,-0.28,1.73,13.72,11.92,28.18,20241211
016057,博时纳斯达克100ETF联接(QDII)C,1.6536,1.66,2.99,13.21,12.57,29.19,20241212
016057,博时纳斯达克100ETF联接(QDII)C,1.6432,-0.63,2.31,11.43,10.5,27.38,20241213
016057,博时纳斯达克100ETF联接(QDII)C,1.6554,0.74,3.15,12.04,10.74,26.89,20241216
016057,博时纳斯达克100ETF联接(QDII)C,1.678,1.37,7.65,13.57,11.75,28.47,20241217
016057,博时纳斯达克100ETF联接(QDII)C,1.6713,-0.4,7.22,13.12,10.04,27.96,20241218
016057,博时纳斯达克100ETF联接(QDII)C,1.614,-3.43,2.97,10.4,6.26,22.91,20241219
016057,博时纳斯达克100ETF联接(QDII)C,1.6065,-0.46,1.82,7.09,5.77,21.69,20241220
016057,博时纳斯达克100ETF联接(QDII)C,1.6192,0.79,2.68,8.71,7.38,24.48,20241223
016057,博时纳斯达克100ETF联接(QDII)C,1.6363,1.06,3.22,9.72,8.85,24.27,20241224
