代码,名称,净值,涨跌,近1月,近3月,近6月,近1年,日期
005827,易方达蓝筹,1.8887,-2.12,-3.47,17.54,3.09,-3.06,20241108
005827,易方达蓝筹,1.866,-1.2,-0.54,15.9,0.18,-2.52,20241111
005827,易方达蓝筹,1.8329,-1.77,-2.3,14.01,-1.59,-4.25,20241112
005827,易方达蓝筹,1.8312,-0.09,-2.39,14.33,-0.79,-4.31,20241113
005827,易方达蓝筹,1.813,-0.99,-2.66,14.38,-1.78,-4.88,20241114
005827,易方达蓝筹,1.8048,-0.45,0.64,14.32,-2.1,-7.31,20241115
005827,易方达蓝筹,1.7898,-0.83,-1.19,12.42,-4.38,-5.74,20241118
005827,易方达蓝筹,1.7872,-0.15,-1.34,12.34,-4.51,-5.88,20241119
005827,易方达蓝筹,1.792,0.27,-1.07,13.37,-4.7,-6.69,20241120
005827,易方达蓝筹,1.7862,-0.32,-0.08,13.4,-3.83,-7.53,20241121
005827,易方达蓝筹,1.7393,-2.63,-3.96,10.46,-5.88,-9.25,20241122
005827,易方达蓝筹,1.738,-0.07,-4.29,10.4,-3.95,-8.3,20241125
005827,易方达蓝筹,1.7473,0.54,-3.78,11.16,-3.44,-7.81,20241126
005827,易方达蓝筹,1.7822,2.0,-1.86,13.04,-2.32,-5.34,20241127
005827,易方达蓝筹,1.7558,-1.48,-4.67,13.71,-3.52,-6.16,20241128
005827,易方达蓝筹,1.7663,0.6,-3.35,12.4,-2.15,-4.36,20241129
005827,易方达蓝筹,1.7713,0.28,-1.71,12.88,0.24,-3.33,20241202
005827,易方达蓝筹,1.7762,0.28,-1.44,12.49,-0.36,-3.07,20241203
005827,易方达蓝筹,1.7704,-0.33,-2.47,13.73,-1.34,-0.39,20241204
005827,易方达蓝筹,1.7561,-0.81,-5.77,12.88,-1.72,1.5,20241205
005827,易方达蓝筹,1.7822,1.49,-3.13,15.5,-0.34,2.41,20241206
005827,易方达蓝筹,1.7987,0.93,-4.77,18.42,1.64,4.43,20241209
005827,易方达蓝筹,1.8066,0.44,-4.35,19.19,2.09,4.89,20241210
005827,易方达蓝筹,1.7988,-0.43,-3.6,19.02,2.66,5.94,20241211
005827,易方达蓝筹,1.8304,1.76,-0.14,22.34,4.89,6.85,20241212
005827,易方达蓝筹,1.7795,-2.78,-2.82,19.82,2.03,6.83,20241213
005827,易方达蓝筹,1.7569,-1.27,-2.65,18.3,0.82,4.89,20241216
005827,易方达蓝筹,1.7605,0.2,-2.45,18.54,1.32,5.1,20241217
005827,易方达蓝筹,1.7684,0.45,-1.2,18.97,2.76,5.66,20241218
005827,易方达蓝筹,1.7573,-0.63,-1.67,15.83,0.6,5.3,20241219
005827,易方达蓝筹,1.7542,-0.18,-2.11,15.33,0.87,5.3,20241220
005827,易方达蓝筹,1.7486,-0.32,0.53,15.13,2.05,6.3,20241223
005827,易方达蓝筹,1.7627,0.81,1.35,10.31,2.89,7.16,20241224
005827,易方达蓝筹,1.7598,-0.16,1.25,9.82,2.45,6.56,20241225
005827,易方达蓝筹,1.7593,-0.03,0.69,2.91,2.52,6.99,20241226
005827,易方达蓝筹,1.7535,-0.33,-1.61,-3.38,3.55,5.87,20241227
005827,易方达蓝筹,1.7421,-0.65,-1.37,-9.84,3.78,1.66,20241230
005827,易方达蓝筹,1.7427,0.03,-1.34,-9.81,3.82,1.7,20241231
005827,易方达蓝筹,1.7137,-1.66,-3.25,-11.31,1.68,2.03,20250102
005827,易方达蓝筹,1.7076,-0.36,-3.86,-11.63,0.9,2.03,20250103
