代码,名称,净值,涨跌,近1月,近3月,近6月,近1年,日期
012895,天弘科创创业50ETF联接C,0.661,-0.63,-6.05,37.14,24.88,14.56,20241108
012895,天弘科创创业50ETF联接C,0.6847,3.59,11.24,42.88,28.97,20.0,20241111
012895,天弘科创创业50ETF联接C,0.6781,-0.96,10.17,41.68,27.73,18.84,20241112
012895,天弘科创创业50ETF联接C,0.6888,1.58,11.91,43.17,30.63,20.38,20241113
012895,天弘科创创业50ETF联接C,0.6669,-3.18,6.11,40.76,26.88,16.49,20241114
012895,天弘科创创业50ETF联接C,0.6426,-3.64,5.52,34.72,23.29,11.83,20241115
012895,天弘科创创业50ETF联接C,0.6285,-2.19,-2.44,31.51,19.87,10.83,20241118
012895,天弘科创创业50ETF联接C,0.6455,2.7,0.2,35.01,23.12,13.82,20241119
012895,天弘科创创业50ETF联接C,0.6486,0.48,0.68,37.21,23.31,14.27,20241120
012895,天弘科创创业50ETF联接C,0.6489,0.05,-0.49,37.92,24.14,14.89,20241121
012895,天弘科创创业50ETF联接C,0.6258,-3.56,-3.63,33.78,18.34,12.7,20241122
012895,天弘科创创业50ETF联接C,0.6204,-0.86,-5.24,32.85,20.94,12.31,20241125
012895,天弘科创创业50ETF联接C,0.6162,-0.68,-5.88,32.43,20.12,11.55,20241126
012895,天弘科创创业50ETF联接C,0.633,2.73,-3.31,37.31,22.32,14.69,20241127
012895,天弘科创创业50ETF联接C,0.6256,-1.17,-3.62,36.27,22.07,12.86,20241128
012895,天弘科创创业50ETF联接C,0.6379,1.97,0.05,37.86,24.18,16.13,20241129
012895,天弘科创创业50ETF联接C,0.6474,1.49,4.94,40.46,25.81,16.99,20241202
012895,天弘科创创业50ETF联接C,0.642,-0.83,4.07,38.24,23.41,16.01,20241203
012895,天弘科创创业50ETF联接C,0.6366,-0.84,1.26,37.46,21.19,16.19,20241204
012895,天弘科创创业50ETF联接C,0.6369,0.05,-2.39,37.5,21.45,18.47,20241205
012895,天弘科创创业50ETF联接C,0.6472,1.62,-0.32,41.77,23.91,20.19,20241206
012895,天弘科创创业50ETF联接C,0.6413,-0.91,-2.98,40.76,24.94,17.48,20241209
012895,天弘科创创业50ETF联接C,0.6438,0.39,-2.6,40.38,25.42,17.93,20241210
012895,天弘科创创业50ETF联接C,0.6421,-0.26,-6.22,38.83,23.79,16.3,20241211
012895,天弘科创创业50ETF联接C,0.6489,1.06,-4.31,41.22,25.83,18.37,20241212
012895,天弘科创创业50ETF联接C,0.6352,-2.11,-7.78,38.78,22.53,17.33,20241213
012895,天弘科创创业50ETF联接C,0.6272,-1.26,-2.4,37.03,20.62,17.54,20241216
012895,天弘科创创业50ETF联接C,0.6269,-0.05,-2.44,36.97,19.55,17.49,20241217
012895,天弘科创创业50ETF联接C,0.6302,0.53,0.27,38.51,20.02,19.42,20241218
012895,天弘科创创业50ETF联接C,0.6361,0.94,-1.46,39.43,22.09,19.88,20241219
012895,天弘科创创业50ETF联接C,0.641,0.77,-1.17,41.19,23.63,21.93,20241220
012895,天弘科创创业50ETF联接C,0.6381,-0.45,1.97,41.58,23.33,19.88,20241223
012895,天弘科创创业50ETF联接C,0.6463,1.29,3.28,37.36,26.73,21.42,20241224
012895,天弘科创创业50ETF联接C,0.6476,0.2,4.38,36.45,30.12,21.87,20241225
012895,天弘科创创业50ETF联接C,0.6528,0.8,5.94,33.39,29.32,24.25,20241226
012895,天弘科创创业50ETF联接C,0.647,-0.89,2.21,22.93,30.02,22.82,20241227
012895,天弘科创创业50ETF联接C,0.6462,-0.12,1.3,6.55,30.65,18.24,20241230
012895,天弘科创创业50ETF联接C,0.6288,-2.69,-1.43,3.68,27.13,15.06,20241231
012895,天弘科创创业50ETF联接C,0.6089,-3.16,-5.95,0.4,24.98,13.39,20250102
012895,天弘科创创业50ETF联接C,0.601,-1.3,-6.39,-0.91,23.48,13.48,20250103
012895,天弘科创创业50ETF联接C,0.6011,0.02,-7.12,-0.89,23.61,16.67,20250106
012895,天弘科创创业50ETF联接C,0.6115,1.73,-5.52,0.82,25.75,18.69,20250107
012895,天弘科创创业50ETF联接C,0.6081,-0.56,-6.04,-13.57,26.5,20.39,20250108
012895,天弘科创创业50ETF联接C,0.6066,-0.25,-5.41,-8.3,23.8,19.55,20250109
012895,天弘科创创业50ETF联接C,0.599,-1.25,-6.96,-7.6,22.0,19.04,20250110
012895,天弘科创创业50ETF联接C,0.5988,-0.03,-5.73,-2.71,20.85,18.72,20250113
012895,天弘科创创业50ETF联接C,0.619,3.37,-2.55,-1.51,24.92,22.72,20250114
012895,天弘科创创业50ETF联接C,0.6118,-1.16,-3.68,0.46,23.85,22.16,20250115
012895,天弘科创创业50ETF联接C,0.6092,-0.42,-2.87,3.11,20.8,20.95,20250116
