代码,名称,净值,涨跌,近1月,近3月,近6月,近1年,日期
011609,易方达科创50联接C,0.7963,-0.28,0.43,40.86,32.06,12.74,20241108
011609,易方达科创50联接C,0.832,4.48,18.35,47.86,37.04,19.03,20241111
011609,易方达科创50联接C,0.8148,-2.07,15.9,44.44,34.21,16.57,20241112
011609,易方达科创50联接C,0.8227,0.97,17.03,45.2,36.1,16.86,20241113
011609,易方达科创50联接C,0.7976,-3.05,10.29,42.63,32.51,12.37,20241114
011609,易方达科创50联接C,0.7673,-3.8,9.12,36.0,29.2,8.35,20241115
011609,易方达科创50联接C,0.754,-1.73,-1.09,34.07,26.19,7.68,20241118
011609,易方达科创50联接C,0.7755,2.85,1.73,38.24,29.79,10.75,20241119
011609,易方达科创50联接C,0.7789,0.44,2.18,40.7,30.45,11.1,20241120
011609,易方达科创50联接C,0.7858,0.89,0.94,42.33,32.49,13.0,20241121
011609,易方达科创50联接C,0.7549,-3.93,-1.62,37.88,26.22,10.24,20241122
011609,易方达科创50联接C,0.7464,-1.13,-3.24,36.28,29.29,9.7,20241125
011609,易方达科创50联接C,0.7418,-0.62,-3.84,36.06,28.49,9.02,20241126
011609,易方达科创50联接C,0.7671,3.41,-0.56,42.32,30.9,12.33,20241127
011609,易方达科创50联接C,0.7654,-0.22,-0.33,42.61,31.26,11.62,20241128
011609,易方达科创50联接C,0.7829,2.29,3.05,44.18,34.36,15.28,20241129
011609,易方达科创50联接C,0.7891,0.79,7.58,47.3,33.84,15.48,20241202
011609,易方达科创50联接C,0.7813,-0.99,6.52,44.82,31.31,14.34,20241203
011609,易方达科创50联接C,0.7769,-0.56,4.35,44.57,30.03,14.38,20241204
011609,易方达科创50联接C,0.7788,0.24,0.46,45.11,30.63,16.67,20241205
011609,易方达科创50联接C,0.788,1.18,1.47,48.68,33.58,17.58,20241206
011609,易方达科创50联接C,0.78,-1.02,-2.05,48.74,32.92,14.09,20241209
011609,易方达科创50联接C,0.7853,0.68,-1.38,48.67,33.83,14.86,20241210
011609,易方达科创50联接C,0.7827,-0.33,-5.93,47.37,30.38,13.25,20241211
011609,易方达科创50联接C,0.7854,0.34,-3.61,49.03,30.97,14.71,20241212
011609,易方达科创50联接C,0.77,-1.96,-6.41,47.03,27.78,13.54,20241213
011609,易方达科创50联接C,0.7593,-1.39,-1.04,44.99,26.95,13.67,20241216
011609,易方达科创50联接C,0.7535,-0.76,-1.8,43.88,25.56,12.8,20241217
011609,易方达科创50联接C,0.764,1.39,1.33,47.58,27.33,15.25,20241218
011609,易方达科创50联接C,0.7724,1.1,-0.4,48.31,29.58,15.84,20241219
011609,易方达科创50联接C,0.786,1.76,0.91,51.59,31.2,19.24,20241220
011609,易方达科创50联接C,0.7767,-1.18,2.89,50.99,29.11,16.83,20241223
011609,易方达科创50联接C,0.788,1.45,4.38,47.95,34.22,18.53,20241224
011609,易方达科创50联接C,0.7905,0.32,5.91,48.37,38.44,19.72,20241225
011609,易方达科创50联接C,0.7976,0.9,7.52,44.41,37.52,22.46,20241226
011609,易方达科创50联接C,0.7914,-0.78,3.17,34.71,39.04,20.84,20241227
011609,易方达科创50联接C,0.793,0.2,1.29,15.63,39.88,18.13,20241230
011609,易方达科创50联接C,0.7695,-2.96,-1.71,12.2,35.74,14.63,20241231
011609,易方达科创50联接C,0.7447,-3.22,-5.63,8.59,33.67,12.46,20250102
011609,易方达科创50联接C,0.7348,-1.33,-5.95,7.14,31.4,12.23,20250103
011609,易方达科创50联接C,0.7325,-0.31,-7.04,6.81,31.53,14.78,20250106
011609,易方达科创50联接C,0.7522,2.69,-4.54,9.68,35.07,17.86,20250107
011609,易方达科创50联接C,0.7519,-0.04,-4.58,-5.17,36.19,21.1,20250108
011609,易方达科创50联接C,0.7492,-0.36,-3.95,-3.33,32.55,20.9,20250109
011609,易方达科创50联接C,0.7412,-1.07,-5.62,-0.31,31.07,20.44,20250110
011609,易方达科创50联接C,0.7424,0.16,-3.58,5.6,29.88,20.46,20250113
011609,易方达科创50联接C,0.7642,2.94,-0.75,5.67,33.69,24.0,20250114
011609,易方达科创50联接C,0.7611,-0.41,-1.16,8.23,33.6,24.24,20250115
011609,易方达科创50联接C,0.7455,-2.05,-1.82,8.72,28.11,21.1,20250116
011609,易方达科创50联接C,0.7525,0.94,-0.13,9.31,29.85,25.35,20250117
011609,易方达科创50联接C,0.7542,0.23,-4.05,-1.06,26.76,24.33,20250120
011609,易方达科创50联接C,0.7601,0.78,-3.3,-2.36,27.75,25.3,20250121
011609,易方达科创50联接C,0.7594,-0.09,-3.38,-1.03,27.22,28.89,20250122
011609,易方达科创50联接C,0.7526,-0.9,-3.1,-1.29,31.21,26.53,20250123
011609,易方达科创50联接C,0.759,0.85,-3.68,-0.3,33.67,27.5,20250124
011609,易方达科创50联接C,0.7445,-1.91,-5.93,-3.49,29.95,25.74,20250127
011609,易方达科创50联接C,0.7649,2.74,4.1,-1.33,36.25,41.65,20250205
011609,易方达科创50联接C,0.7858,2.73,7.28,1.18,38.2,37.09,20250206
011609,易方达科创50联接C,0.7914,0.71,5.21,-0.89,40.34,34.09,20250207
011609,易方达科创50联接C,0.8048,1.69,8.58,1.07,43.02,34.97,20250210
011609,易方达科创50联接C,0.7955,-1.16,7.33,-4.39,41.37,33.41,20250211
011609,易方达科创50联接C,0.8079,1.56,9.0,-0.85,43.22,35.49,20250212
011609,易方达科创50联接C,0.7901,-2.2,6.43,-3.96,39.45,32.5,20250213
011609,易方达科创50联接C,0.794,0.49,3.9,-0.45,41.99,33.15,20250214
011609,易方达科创50联接C,0.8049,1.37,6.96,4.9,43.12,34.98,20250217
011609,易方达科创50联接C,0.7858,-2.37,4.43,4.22,39.72,31.78,20250218
011609,易方达科创50联接C,0.8029,2.18,6.7,3.53,43.12,32.69,20250219
011609,易方达科创50联接C,0.8019,-0.12,6.32,2.95,44.85,33.96,20250220
011609,易方达科创50联接C,0.8472,5.65,11.46,7.81,53.45,41.46,20250221
011609,易方达科创50联接C,0.8513,0.48,12.16,12.77,55.43,40.5,20250224
011609,易方达科创50联接C,0.8533,0.23,12.42,14.32,55.8,40.83,20250225
011609,易方达科创50联接C,0.8709,2.06,14.74,17.4,59.74,43.03,20250226
011609,易方达科创50联接C,0.8705,-0.05,16.92,13.48,61.5,38.13,20250227
011609,易方达科创50联接C,0.8358,-3.99,12.26,6.76,50.87,30.94,20250228
011609,易方达科创50联接C,0.8237,-1.45,10.64,5.43,52.68,27.86,20250303
011609,易方达科创50联接C,0.8371,1.63,12.44,7.75,55.77,29.5,20250304
011609,易方达科创50联接C,0.8394,0.27,9.74,7.78,56.4,29.98,20250305
011609,易方达科创50联接C,0.8672,3.31,10.36,10.05,63.62,35.2,20250306
011609,易方达科创50联接C,0.8568,-1.2,8.26,8.73,61.66,36.39,20250307
011609,易方达科创50联接C,0.855,-0.21,6.24,8.88,61.87,34.71,20250310
011609,易方达科创50联接C,0.8516,-0.4,7.05,8.8,60.35,31.83,20250311
011609,易方达科创50联接C,0.8455,-0.72,4.65,7.65,60.44,30.98,20250312
011609,易方达科创50联接C,0.8284,-2.02,4.85,7.58,58.18,28.75,20250313
